Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Occupancy
08-15-2018 08:03:10;-1
08-15-2018 08:08:21;0
08-15-2018 16:31:10;-1
08-15-2018 16:36:32;0
08-16-2018 08:56:11;-1
08-16-2018 09:01:17;0
08-16-2018 09:26:32;-1
08-16-2018 09:31:39;0
08-16-2018 11:17:35;-1
08-16-2018 11:22:45;0
08-16-2018 13:18:24;-1
08-16-2018 13:24:36;0
08-16-2018 14:38:51;-1
08-16-2018 14:43:57;0
08-16-2018 15:03:10;-1
08-16-2018 15:10:45;0
08-16-2018 15:20:00;-1
08-16-2018 15:25:01;0
08-17-2018 19:06:56;-1
08-17-2018 19:12:03;0
08-20-2018 12:55:54;-1
08-20-2018 13:00:56;0
08-20-2018 14:48:10;-1
08-20-2018 14:56:49;0
08-20-2018 15:24:48;-1
08-20-2018 15:36:27;0
08-20-2018 15:54:16;-1
08-20-2018 15:59:59;0
08-20-2018 17:59:27;-1
08-20-2018 18:04:28;0
08-20-2018 18:07:03;-1
08-20-2018 18:12:04;0
08-20-2018 20:55:52;-1
08-20-2018 21:03:15;0
08-20-2018 22:07:39;-1
08-20-2018 22:13:25;0
08-21-2018 11:49:04;-1
08-21-2018 11:54:26;0
08-21-2018 11:55:22;-1
08-21-2018 12:00:28;0
08-22-2018 14:56:15;-1
08-22-2018 15:01:17;0
08-22-2018 22:10:04;-1
08-22-2018 22:21:07;0
08-22-2018 22:27:21;-1
08-22-2018 22:32:42;0
08-23-2018 07:05:18;-1
08-23-2018 07:11:34;0
08-23-2018 15:16:06;-1
08-23-2018 15:21:07;0
08-23-2018 16:07:06;-1
08-23-2018 16:12:22;0
08-23-2018 17:45:01;-1
08-23-2018 18:07:25;0
08-27-2018 10:53:33;-1
08-27-2018 10:59:57;0
08-27-2018 13:01:09;-1
08-27-2018 13:06:19;0
08-27-2018 17:48:13;-1
08-27-2018 17:53:43;0
08-28-2018 07:52:33;-1
08-28-2018 07:59:45;0
08-28-2018 09:11:18;-1
08-28-2018 09:47:10;0
08-28-2018 09:52:33;-1
08-28-2018 11:15:12;-1
08-28-2018 12:02:40;0
08-28-2018 13:15:32;-1
08-28-2018 14:09:01;0
08-28-2018 14:24:37;-1
08-28-2018 14:37:58;0
08-28-2018 14:47:39;-1
08-28-2018 14:52:41;0
08-28-2018 14:56:32;-1
08-28-2018 15:06:07;0
08-28-2018 15:07:15;-1
08-28-2018 15:12:17;0
08-28-2018 15:17:00;-1
08-28-2018 15:40:01;0
08-28-2018 16:49:07;-1
08-28-2018 16:54:14;0
08-28-2018 17:37:35;-1
08-28-2018 17:51:07;0
08-28-2018 18:44:58;-1
08-28-2018 18:50:15;0
08-28-2018 19:10:39;-1
08-28-2018 19:22:31;0
08-28-2018 20:23:53;-1
08-28-2018 20:29:56;0
08-29-2018 03:34:59;-1
08-29-2018 03:40:00;0
08-29-2018 08:18:47;-1
08-29-2018 08:23:55;0
08-29-2018 08:45:15;-1
08-29-2018 08:57:55;0
08-29-2018 09:30:14;-1
08-29-2018 09:35:47;0
08-29-2018 11:21:01;-1
08-29-2018 11:26:02;0
08-29-2018 23:11:17;-1
08-29-2018 23:16:44;0
08-30-2018 07:16:15;-1
08-30-2018 07:22:30;0
08-30-2018 07:47:16;-1
08-30-2018 08:15:18;0
08-30-2018 08:21:14;-1
08-30-2018 08:54:48;0
08-30-2018 08:55:20;-1
08-30-2018 09:36:11;0
08-30-2018 10:25:36;-1
08-30-2018 10:38:30;0
08-30-2018 10:44:17;-1
08-30-2018 10:50:19;0
08-30-2018 11:11:48;-1
08-30-2018 11:47:51;0
08-30-2018 13:25:09;-1
08-30-2018 13:30:11;0
08-30-2018 15:41:05;-1
08-30-2018 15:46:31;0
08-30-2018 17:27:07;-1
08-30-2018 17:37:06;0
08-30-2018 22:56:50;-1
08-30-2018 23:01:51;0
08-30-2018 23:32:33;-1
08-30-2018 23:42:54;0
08-31-2018 11:19:39;-1
08-31-2018 11:24:46;0
08-31-2018 14:48:58;-1
08-31-2018 14:53:59;0
08-31-2018 16:48:08;-1
08-31-2018 16:53:49;0
08-31-2018 17:05:12;-1
08-31-2018 17:23:27;0
08-31-2018 17:25:22;-1
08-31-2018 17:30:23;0
08-31-2018 17:32:55;-1
08-31-2018 17:41:54;0
08-31-2018 17:53:15;-1
08-31-2018 17:58:16;0
08-31-2018 18:05:29;-1
08-31-2018 18:11:15;0
08-31-2018 18:33:54;-1
08-31-2018 18:41:52;0
09-02-2018 13:12:33;-1
09-02-2018 13:17:34;0
09-04-2018 10:50:47;-1
09-04-2018 10:56:03;0
09-04-2018 22:32:54;-1
09-04-2018 22:40:12;0
09-05-2018 15:28:46;-1
09-05-2018 15:33:57;0
09-05-2018 23:33:47;-1
09-05-2018 23:38:52;0
09-06-2018 11:50:26;-1
09-06-2018 11:55:29;0
09-06-2018 13:03:16;-1
09-06-2018 13:12:30;0
09-06-2018 20:23:38;-1
09-06-2018 20:29:25;0
09-07-2018 12:40:47;-1
09-07-2018 12:46:02;0
09-07-2018 13:01:56;-1
09-07-2018 13:08:32;0
09-07-2018 14:45:35;-1
09-07-2018 14:50:43;0
09-07-2018 15:56:43;-1
09-07-2018 16:01:55;0
09-07-2018 16:51:55;-1
09-07-2018 17:06:41;0
09-07-2018 23:40:26;-1
09-07-2018 23:45:32;0
09-09-2018 17:49:27;-1
09-09-2018 17:54:51;0
09-10-2018 15:59:16;-1
09-10-2018 16:11:22;0
09-10-2018 22:38:24;-1
09-10-2018 22:45:33;0
09-10-2018 23:01:57;-1
09-10-2018 23:07:32;0
09-10-2018 23:12:04;-1
09-10-2018 23:17:53;0
09-11-2018 18:10:31;-1
09-11-2018 18:16:12;0
09-11-2018 18:53:26;-1
09-11-2018 18:58:55;0
09-11-2018 20:01:01;-1
09-11-2018 20:15:03;0
09-12-2018 07:52:34;-1
09-12-2018 07:58:05;0
09-12-2018 11:29:09;-1
09-12-2018 11:35:33;0
09-12-2018 21:03:01;-1
09-12-2018 21:11:20;0
09-12-2018 21:43:38;-1
09-12-2018 21:49:23;0
09-12-2018 21:52:49;-1
09-12-2018 21:58:18;0
09-13-2018 17:58:43;-1
09-13-2018 18:05:20;0
09-13-2018 18:18:37;-1
09-13-2018 18:24:12;0
09-13-2018 20:22:19;-1
09-13-2018 20:29:28;0
09-13-2018 23:57:31;-1
09-14-2018 00:03:35;0
09-17-2018 11:41:59;-1
09-17-2018 12:32:11;0
09-17-2018 16:01:47;-1
09-17-2018 16:45:03;0
09-17-2018 20:00:35;-1
09-17-2018 20:06:18;0
09-17-2018 22:58:59;-1
09-17-2018 23:04:53;0
09-18-2018 14:56:25;-1
09-18-2018 15:01:51;0
09-18-2018 15:51:00;-1
09-18-2018 15:56:01;0
09-18-2018 16:05:16;-1
09-18-2018 16:13:14;0
09-18-2018 23:19:51;-1
09-18-2018 23:34:18;0
09-18-2018 23:46:58;-1
09-18-2018 23:52:22;0
09-19-2018 06:56:06;-1
09-19-2018 07:01:19;0
09-19-2018 07:20:14;-1
09-19-2018 07:26:20;0
09-19-2018 07:37:49;-1
09-19-2018 07:42:55;0
09-19-2018 09:52:45;-1
09-19-2018 09:58:20;0
09-19-2018 11:46:48;-1
09-19-2018 11:51:51;0
09-19-2018 12:57:30;-1
09-19-2018 13:03:44;0
09-19-2018 17:03:36;-1
09-19-2018 17:10:45;0
09-19-2018 17:19:01;-1
09-19-2018 17:24:53;0
09-19-2018 19:15:28;-1
09-19-2018 19:20:39;0
09-20-2018 07:27:09;-1
09-20-2018 07:32:32;0
09-20-2018 07:36:34;-1
09-20-2018 07:41:42;0
09-20-2018 10:22:32;-1
09-20-2018 10:27:44;0
09-20-2018 10:52:42;-1
09-20-2018 10:58:19;0
09-20-2018 11:04:21;-1
09-20-2018 11:09:22;0
09-20-2018 11:39:21;-1
09-20-2018 11:46:52;0
09-20-2018 14:44:48;-1
09-20-2018 14:49:56;0
09-20-2018 18:16:07;-1
09-20-2018 18:24:09;0
09-21-2018 07:02:04;-1
09-21-2018 07:07:29;0
09-21-2018 09:52:25;-1
09-21-2018 09:57:52;0
09-21-2018 12:58:40;-1
09-21-2018 13:03:41;0
09-21-2018 19:13:36;-1
09-21-2018 19:18:44;0
09-22-2018 14:38:32;-1
09-22-2018 14:44:43;0
09-22-2018 14:47:12;-1
09-22-2018 14:52:13;0
09-22-2018 14:57:23;-1
09-22-2018 15:06:56;0
09-24-2018 06:43:35;-1
09-24-2018 07:03:02;0
09-24-2018 12:45:45;-1
09-24-2018 12:50:59;0
09-24-2018 15:10:36;-1
09-24-2018 15:49:22;0
09-24-2018 19:30:54;-1
09-24-2018 19:36:22;0
09-24-2018 19:43:59;-1
09-24-2018 19:51:13;0
09-25-2018 11:08:26;-1
09-25-2018 11:13:40;0
09-26-2018 11:12:33;-1
09-26-2018 11:22:43;0
09-26-2018 15:27:44;-1
09-26-2018 15:32:48;0
09-26-2018 15:54:40;-1
09-26-2018 15:59:48;0
09-26-2018 17:12:15;-1
09-26-2018 17:20:04;0
09-26-2018 18:36:47;-1
09-26-2018 18:42:02;0
09-27-2018 06:54:20;-1
09-27-2018 06:59:40;0
09-27-2018 15:39:57;-1
09-27-2018 15:44:57;0
09-27-2018 15:47:16;-1
09-27-2018 15:58:58;0
09-27-2018 16:17:05;-1
09-27-2018 16:23:09;0
09-27-2018 16:57:12;-1
09-27-2018 17:05:19;0
09-27-2018 18:06:07;-1
09-27-2018 18:24:26;0
09-27-2018 19:13:00;-1
09-27-2018 19:18:14;0
09-27-2018 19:48:06;-1
09-27-2018 19:53:17;0
09-28-2018 07:41:56;-1
09-28-2018 07:47:04;0
09-28-2018 08:17:20;-1
09-28-2018 08:22:51;0
09-28-2018 10:34:05;-1
09-28-2018 10:39:27;0
09-28-2018 12:37:19;-1
09-28-2018 12:43:52;0
09-28-2018 18:46:33;-1
09-28-2018 18:51:36;0
10-01-2018 11:00:28;-1
10-01-2018 11:11:38;0
10-01-2018 11:28:23;-1
10-01-2018 11:33:28;0
10-01-2018 12:39:58;-1
10-01-2018 12:54:20;0
10-01-2018 13:03:09;-1
10-17-2018 16:32:01;-1
10-17-2018 16:47:57;0
10-22-2018 14:18:25;-1
10-22-2018 14:29:08;0
10-22-2018 14:40:53;-1
10-22-2018 14:48:27;0
10-22-2018 15:13:37;-1
10-22-2018 15:23:12;0
10-22-2018 15:33:00;-1
10-22-2018 15:38:18;0
10-22-2018 15:53:58;-1
10-22-2018 16:03:24;0
10-22-2018 16:10:05;-1
10-22-2018 16:15:41;0
10-22-2018 16:21:41;-1
10-22-2018 16:26:53;0
10-22-2018 16:29:11;-1
10-22-2018 16:36:33;0
10-22-2018 16:38:24;-1
10-22-2018 16:43:41;0
10-22-2018 16:45:05;-1
10-22-2018 16:51:03;0
10-22-2018 18:25:04;-1
